Current epoch = 1
IN | IN = -3.3668
UH | POS = -4.0329
WP$ | POS = -3.98339
IN | ( = -3.58156
DT | ( = -3.80066
NNP | ( = -3.75375
CD | ( = -3.51035
NN | ( = -3.73954
`` | ( = -3.76179
'' | ( = -3.75803
POS | ( = -3.92634
( | ( = -3.57628
VBN | ( = -3.92843
NNS | ( = -3.77986
VBP | ( = -3.90848
, | ( = -3.52053
CC | ( = -3.5356
) | ( = -3.56997
VBD | ( = -3.8743
RB | ( = -3.51287
TO | ( = -3.73957
. | ( = -3.75037
VBZ | ( = -3.94884
NNPS | ( = -3.83972
PRP | ( = -3.88027
PRP$ | ( = -4.00766
VB | ( = -4.8103
JJ | ( = -3.84895
MD | ( = -3.87428
VBG | ( = -3.81462
RBR | ( = -3.75648
: | ( = -3.7649
WP | ( = -3.95869
WDT | ( = -3.96945
JJR | ( = -3.77023
PDT | ( = -3.94534
RBS | ( = -3.82877
WRB | ( = -4.04047
JJS | ( = -3.82198
$ | ( = -3.87298
RP | ( = -4.24575
FW | ( = -3.94069
EX | ( = -4.03695
SYM | ( = -4.07415
# | ( = -4.10093
LS | ( = -4.09118
UH | ( = -4.04716
WP$ | ( = -4.01809
IN | VBN = -0.879086
DT | VBN = -4.57632
NNP | VBN = -4.35935
CD | VBN = -6.29281
NN | VBN = -2.23537
`` | VBN = -5.20053
'' | VBN = -5.20798
POS | VBN = -11.2438
( | VBN = -9.43712
VBN | VBN = -3.53344
NNS | VBN = -2.94937
VBP | VBN = -6.47207
, | VBN = -3.28477
CC | VBN = -3.70481
) | VBN = -9.54487
VBD | VBN = -5.6137
RB | VBN = -2.61485
TO | VBN = -2.0337
. | VBN = -4.76861
VBZ | VBN = -5.7941
NNPS | VBN = -8.75682
PRP | VBN = -4.91851
PRP$ | VBN = -9.06152
VB | VBN = -7.92976
JJ | VBN = -4.00861
MD | VBN = -5.62204
VBG | VBN = -4.37846
RBR | VBN = -5.52939
: | VBN = -6.27837
WP | VBN = -6.24458
WDT | VBN = -7.23465
JJR | VBN = -6.24888
PDT | VBN = -9.87053
RBS | VBN = -8.13254
WRB | VBN = -4.75251
JJS | VBN = -7.34638
$ | VBN = -5.87548
RP | VBN = -4.43263
FW | VBN = -10.6029
EX | VBN = -8.26343
SYM | VBN = -11.3817
# | VBN = -10.598
LS | VBN = -11.026
UH | VBN = -10.8732
WP$ | VBN = -10.5675
IN | NNS = -1.98558
DT | NNS = -1.94802
NNP | NNS = -3.16812
CD | NNS = -2.90896
NN | NNS = -2.064
`` | NNS = -5.36157
'' | NNS = -5.84456
POS | NNS = -5.24808
( | NNS = -6.74991
VBN | NNS = -3.77896
NNS | NNS = -3.98466
VBP | NNS = -4.64648
, | NNS = -3.37871
CC | NNS = -3.38009
) | NNS = -6.83268
VBD | NNS = -5.12966
RB | NNS = -4.4869
TO | NNS = -4.57493
. | NNS = -6.62514
VBZ | NNS = -5.03846
NNPS | NNS = -6.53946
PRP | NNS = -6.96281
PRP$ | NNS = -3.35946
VB | NNS = -15.8996
JJ | NNS = -1.44072
MD | NNS = -5.38273
VBG | NNS = -3.69767
RBR | NNS = -6.96903
: | NNS = -5.45789
WP | NNS = -8.85693
WDT | NNS = -8.30857
JJR | NNS = -4.9247
PDT | NNS = -6.8703
RBS | NNS = -8.613
WRB | NNS = -8.89797
JJS | NNS = -5.27218
$ | NNS = -5.6963
RP | NNS = -9.50747
FW | NNS = -8.16441
EX | NNS = -9.71329
SYM | NNS = -10.174
# | NNS = -9.66308
LS | NNS = -10.1573
UH | NNS = -10.0203
WP$ | NNS = -7.90537
IN | VBP = -2.47661
DT | VBP = -6.35981
NNP | VBP = -4.20402
CD | VBP = -5.30744
NN | VBP = -2.97266
`` | VBP = -4.14509
'' | VBP = -4.10011
POS | VBP = -9.79533
( | VBP = -6.3214
VBN | VBP = -2.82595
NNS | VBP = -1.74955
VBP | VBP = -4.19995
, | VBP = -2.54441
CC | VBP = -3.38895
) | VBP = -6.32728
VBD | VBP = -5.15603
RB | VBP = -2.62536
TO | VBP = -3.80783
. | VBP = -2.11509
VBZ | VBP = -5.26019
NNPS | VBP = -5.94279
PRP | VBP = -2.65066
PRP$ | VBP = -8.38504
VB | VBP = -4.21585
JJ | VBP = -3.86633
MD | VBP = -4.66977
VBG | VBP = -3.40811
RBR | VBP = -5.96285
: | VBP = -4.89162
WP | VBP = -4.20866
WDT | VBP = -4.12366
JJR | VBP = -5.47759
PDT | VBP = -8.3508
RBS | VBP = -7.19922
WRB | VBP = -4.86901
JJS | VBP = -6.34176
$ | VBP = -5.93946
RP | VBP = -5.6665
FW | VBP = -7.86426
EX | VBP = -5.26626
SYM | VBP = -8.61092
# | VBP = -8.10496
LS | VBP = -8.24815
UH | VBP = -8.0269
WP$ | VBP = -8.63917
IN | , = -4.05654
DT | , = -3.86197
NNP | , = -3.82707
CD | , = -3.70637
NN | , = -3.96836
`` | , = -3.88123
'' | , = -3.8959
POS | , = -3.53638
( | , = -3.57563
VBN | , = -4.10884
NNS | , = -4.06069
VBP | , = -3.89101
, | , = -3.87808
CC | , = -3.85884
) | , = -3.56593
VBD | , = -3.87566
RB | , = -3.91914
TO | , = -4.06289
. | , = -3.95742
VBZ | , = -3.87388
NNPS | , = -3.68181
PRP | , = -3.9929
PRP$ | , = -3.78284
VB | , = -4.23517
JJ | , = -4.00649
MD | , = -3.89043
VBG | , = -3.95794
RBR | , = -3.91516
: | , = -3.82555
WP | , = -3.96885
WDT | , = -3.87854
JJR | , = -3.86385
PDT | , = -3.71057
RBS | , = -3.83031
WRB | , = -4.10608
JJS | , = -3.81116
$ | , = -3.84855
RP | , = -4.213
FW | , = -3.66005
EX | , = -3.89026
SYM | , = -3.71136
# | , = -3.74504
LS | , = -3.74622
UH | , = -3.73162
WP$ | , = -3.72287
IN | CC = -3.49884
DT | CC = -4.45429
NNP | CC = -2.07545
CD | CC = -4.90393
NN | CC = -1.50732
`` | CC = -5.57804
'' | CC = -6.50616
POS | CC = -7.32694
( | CC = -7.88473
VBN | CC = -4.18014
NNS | CC = -1.61965
VBP | CC = -3.52864
, | CC = -4.66544
CC | CC = -5.11082
) | CC = -7.93511
VBD | CC = -2.7578
RB | CC = -5.49219
TO | CC = -4.71396
. | CC = -6.12212
VBZ | CC = -2.7934
NNPS | CC = -4.81688
PRP | CC = -5.04997
PRP$ | CC = -6.56259
VB | CC = -3.0684
JJ | CC = -3.43975
MD | CC = -3.4238
VBG | CC = -3.53292
RBR | CC = -7.14646
: | CC = -5.78721
WP | CC = -6.69494
WDT | CC = -5.70979
JJR | CC = -5.95646
PDT | CC = -7.81015
RBS | CC = -9.98113
WRB | CC = -6.82959
JJS | CC = -6.14954
$ | CC = -3.73974
RP | CC = -6.24635
FW | CC = -7.59587
EX | CC = -7.89819
SYM | CC = -8.87911
# | CC = -7.41718
LS | CC = -8.8539
UH | CC = -8.67237
WP$ | CC = -8.2331
IN | ) = -4.15945
DT | ) = -4.3197
NNP | ) = -3.92352
CD | ) = -4.256
NN | ) = -3.87413
`` | ) = -3.843
'' | ) = -3.84774
POS | ) = -4.32746
( | ) = -4.01386
VBN | ) = -3.91648
NNS | ) = -3.78509
VBP | ) = -3.86126
, | ) = -3.95205
CC | ) = -4.00946
) | ) = -4.00862
VBD | ) = -4.01052
RB | ) = -3.78729
TO | ) = -4.01709
. | ) = -3.64548
VBZ | ) = -3.89833
NNPS | ) = -3.8378
PRP | ) = -3.5372
PRP$ | ) = -4.40867
VB | ) = -2.57184
JJ | ) = -4.18134
MD | ) = -3.87365
VBG | ) = -3.84939
RBR | ) = -4.06893
: | ) = -3.9181
WP | ) = -3.59174
WDT | ) = -3.48247
JJR | ) = -4.10851
PDT | ) = -4.12793
RBS | ) = -4.06282
WRB | ) = -3.74813
JJS | ) = -4.11608
$ | ) = -3.92753
RP | ) = -3.72829
FW | ) = -3.93204
EX | ) = -3.55361
SYM | ) = -3.87277
# | ) = -3.81343
LS | ) = -3.83443
UH | ) = -3.8329
WP$ | ) = -4.10531
IN | VBD = -2.12542
DT | VBD = -5.34387
NNP | VBD = -2.39857
CD | VBD = -6.38721
NN | VBD = -2.2265
`` | VBD = -4.00818
'' | VBD = -3.91542
POS | VBD = -8.89755
( | VBD = -7.17239
VBN | VBD = -3.58546
NNS | VBD = -2.71604
VBP | VBD = -5.03321
, | VBD = -2.14793
CC | VBD = -3.44065
) | VBD = -7.21108
VBD | VBD = -4.03965
RB | VBD = -3.1239
TO | VBD = -3.43852
. | VBD = -1.96435
VBZ | VBD = -4.07482
NNPS | VBD = -5.76365
PRP | VBD = -3.24492
PRP$ | VBD = -9.78588
VB | VBD = -4.47506
JJ | VBD = -4.6057
MD | VBD = -4.32028
VBG | VBD = -4.18081
RBR | VBD = -6.9231
: | VBD = -5.1856
WP | VBD = -4.70703
WDT | VBD = -4.45871
JJR | VBD = -6.67319
PDT | VBD = -9.29111
RBS | VBD = -8.60212
WRB | VBD = -5.26969
JJS | VBD = -7.48046
$ | VBD = -5.62225
RP | VBD = -6.05975
FW | VBD = -8.50277
EX | VBD = -6.10845
SYM | VBD = -9.63313
# | VBD = -8.7227
LS | VBD = -9.31983
UH | VBD = -9.02244
WP$ | VBD = -9.59362
IN | RB = -1.31117
DT | RB = -4.34855
NNP | RB = -4.87137
CD | RB = -2.47915
NN | RB = -2.67277
`` | RB = -5.34078
'' | RB = -5.7765
POS | RB = -9.22664
( | RB = -5.95072
VBN | RB = -4.79772
NNS | RB = -2.49994
VBP | RB = -5.63977
, | RB = -3.31495
CC | RB = -2.91253
) | RB = -5.98215
VBD | RB = -5.39102
RB | RB = -1.88875
TO | RB = -2.58943
. | RB = -6.49143
VBZ | RB = -6.11975
NNPS | RB = -7.13464
PRP | RB = -5.81534
PRP$ | RB = -6.60848
VB | RB = -11.7383
JJ | RB = -3.93353
MD | RB = -5.27371
VBG | RB = -3.94079
RBR | RB = -3.55228
: | RB = -5.40762
WP | RB = -6.91447
WDT | RB = -7.71321
JJR | RB = -4.23904
PDT | RB = -7.32595
RBS | RB = -6.09231
WRB | RB = -5.83341
JJS | RB = -5.00881
$ | RB = -4.5817
RP | RB = -6.03233
FW | RB = -8.27501
EX | RB = -8.54487
SYM | RB = -9.22785
# | RB = -8.89493
LS | RB = -9.2533
UH | RB = -8.97954
WP$ | RB = -8.25435
IN | TO = -5.44642
DT | TO = -7.22291
NNP | TO = -3.54388
CD | TO = -6.24325
NN | TO = -2.13351
`` | TO = -6.48261
'' | TO = -7.62797
POS | TO = -10.7358
( | TO = -8.63752
VBN | TO = -6.37003
NNS | TO = -2.31863
VBP | TO = -4.99994
, | TO = -5.78052
CC | TO = -5.96461
) | TO = -8.63093
VBD | TO = -4.95729
RB | TO = -4.61365
TO | TO = -5.89182
. | TO = -7.22357
VBZ | TO = -4.5342
NNPS | TO = -5.81577
PRP | TO = -5.02816
PRP$ | TO = -10.0789
VB | TO = -0.440141
JJ | TO = -6.35374
MD | TO = -4.69477
VBG | TO = -4.31828
RBR | TO = -7.91291
: | TO = -6.82351
WP | TO = -6.94806
WDT | TO = -5.5903
JJR | TO = -7.4809
PDT | TO = -9.66547
RBS | TO = -11.1626
WRB | TO = -7.61183
JJS | TO = -7.72819
$ | TO = -4.39305
RP | TO = -7.06313
FW | TO = -8.80842
EX | TO = -8.10563
SYM | TO = -9.98801
# | TO = -8.38611
LS | TO = -9.92747
UH | TO = -9.648
WP$ | TO = -10.3914
IN | . = -3.58948
DT | . = -3.71038
NNP | . = -3.51487
CD | . = -3.91351
NN | . = -3.55805
`` | . = -3.73476
'' | . = -3.73415
POS | . = -3.92183
( | . = -4.00836
VBN | . = -3.65155
NNS | . = -3.66587
VBP | . = -3.7573
, | . = -3.59643
CC | . = -3.71296
) | . = -4.01605
VBD | . = -3.66548
RB | . = -3.79209
TO | . = -3.74011
. | . = -3.5951
VBZ | . = -3.65352
NNPS | . = -3.82674
PRP | . = -3.73452
PRP$ | . = -4.02362
VB | . = -3.91978
JJ | . = -3.66234
MD | . = -3.72743
VBG | . = -3.73374
RBR | . = -4.06363
: | . = -3.82357
WP | . = -3.86493
WDT | . = -3.80346
JJR | . = -3.94864
PDT | . = -4.10321
RBS | . = -4.17716
WRB | . = -3.92806
JJS | . = -3.99107
$ | . = -3.86379
RP | . = -3.98802
FW | . = -4.06201
EX | . = -3.95414
SYM | . = -4.18669
# | . = -4.10138
LS | . = -4.16372
UH | . = -4.14672
WP$ | . = -4.12367
IN | VBZ = -2.55767
DT | VBZ = -4.31305
NNP | VBZ = -2.5014
CD | VBZ = -6.78242
NN | VBZ = -1.95275
`` | VBZ = -3.59964
'' | VBZ = -3.40937
POS | VBZ = -7.71211
( | VBZ = -7.3702
VBN | VBZ = -3.01581
NNS | VBZ = -3.80565
VBP | VBZ = -4.96587
, | VBZ = -2.26111
CC | VBZ = -3.30986
) | VBZ = -7.43039
VBD | VBZ = -5.15175
RB | VBZ = -2.86906
TO | VBZ = -3.74398
. | VBZ = -1.94138
VBZ | VBZ = -4.34856
NNPS | VBZ = -6.01156
PRP | VBZ = -3.08013
PRP$ | VBZ = -8.19221
VB | VBZ = -4.90801
JJ | VBZ = -3.79079
MD | VBZ = -4.80499
VBG | VBZ = -3.74485
RBR | VBZ = -7.44875
: | VBZ = -4.89193
WP | VBZ = -4.71021
WDT | VBZ = -4.10377
JJR | VBZ = -6.60793
PDT | VBZ = -8.5693
RBS | VBZ = -8.34172
WRB | VBZ = -5.48541
JJS | VBZ = -7.25076
$ | VBZ = -6.03837
RP | VBZ = -6.1758
FW | VBZ = -8.1506
EX | VBZ = -5.48956
SYM | VBZ = -9.30706
# | VBZ = -8.57676
LS | VBZ = -8.87694
UH | VBZ = -8.74093
WP$ | VBZ = -9.07477
IN | NNPS = -3.05108
DT | NNPS = -2.14855
NNP | NNPS = -0.772752
CD | NNPS = -4.59303
NN | NNPS = -2.44634
`` | NNPS = -5.215
'' | NNPS = -5.39535
POS | NNPS = -3.30053
( | NNPS = -6.37706
VBN | NNPS = -5.98519
NNS | NNPS = -6.67069
VBP | NNPS = -6.1036
, | NNPS = -2.19295
CC | NNPS = -3.46851
) | NNPS = -6.43233
VBD | NNPS = -4.49284
RB | NNPS = -5.89435
TO | NNPS = -6.45148
. | NNPS = -5.02767
VBZ | NNPS = -4.28808
NNPS | NNPS = -5.53086
PRP | NNPS = -7.92526
PRP$ | NNPS = -6.66893
VB | NNPS = -19.4716
JJ | NNPS = -3.65529
MD | NNPS = -5.74845
VBG | NNPS = -5.72734
RBR | NNPS = -10.5363
: | NNPS = -5.9392
WP | NNPS = -10.0899
WDT | NNPS = -8.39873
JJR | NNPS = -7.70421
PDT | NNPS = -8.91808
RBS | NNPS = -11.6985
WRB | NNPS = -12.0015
JJS | NNPS = -7.91138
$ | NNPS = -7.12027
RP | NNPS = -14.3247
FW | NNPS = -8.85463
EX | NNPS = -10.8884
SYM | NNPS = -12.0671
# | NNPS = -11.2651
LS | NNPS = -12.1569
UH | NNPS = -11.7246
WP$ | NNPS = -9.90835
IN | PRP = -1.90414
DT | PRP = -2.84493
NNP | PRP = -2.63574
CD | PRP = -3.46691
NN | PRP = -2.33403
`` | PRP = -3.93929
'' | PRP = -4.02586
POS | PRP = -5.10795
( | PRP = -5.07225
VBN | PRP = -3.65124
NNS | PRP = -3.50909
VBP | PRP = -4.43748
, | PRP = -2.41064
CC | PRP = -2.7792
) | PRP = -5.11422
VBD | PRP = -3.94759
RB | PRP = -3.14204
TO | PRP = -3.32852
. | PRP = -3.9151
VBZ | PRP = -4.05205
NNPS | PRP = -5.02883
PRP | PRP = -4.71691
PRP$ | PRP = -5.08419
VB | PRP = -9.76174
JJ | PRP = -2.94276
MD | PRP = -4.24193
VBG | PRP = -3.69791
RBR | PRP = -5.20087
: | PRP = -4.33435
WP | PRP = -5.74156
WDT | PRP = -5.60504
JJR | PRP = -4.58209
PDT | PRP = -6.08184
RBS | PRP = -6.29249
WRB | PRP = -5.8534
JJS | PRP = -4.97504
$ | PRP = -4.63013
RP | PRP = -6.53003
FW | PRP = -6.39407
EX | PRP = -6.5512
SYM | PRP = -7.56942
# | PRP = -7.20978
LS | PRP = -7.5223
UH | PRP = -7.33918
WP$ | PRP = -6.61976
IN | PRP$ = -3.97266
DT | PRP$ = -3.87445
NNP | PRP$ = -3.82906
CD | PRP$ = -3.95117
NN | PRP$ = -4.00371
`` | PRP$ = -3.87849
'' | PRP$ = -3.85237
POS | PRP$ = -3.6449
( | PRP$ = -3.80305
VBN | PRP$ = -3.95415
NNS | PRP$ = -4.00892
VBP | PRP$ = -3.90613
, | PRP$ = -3.91357
CC | PRP$ = -3.95477
) | PRP$ = -3.80346
VBD | PRP$ = -3.75821
RB | PRP$ = -4.055
TO | PRP$ = -3.93901
. | PRP$ = -3.82024
VBZ | PRP$ = -3.79084
NNPS | PRP$ = -3.77213
PRP | PRP$ = -3.92558
PRP$ | PRP$ = -3.87484
VB | PRP$ = -3.8093
JJ | PRP$ = -3.97487
MD | PRP$ = -3.84314
VBG | PRP$ = -4.00024
RBR | PRP$ = -3.9068
: | PRP$ = -3.87671
WP | PRP$ = -3.84286
WDT | PRP$ = -3.84525
JJR | PRP$ = -3.92478
PDT | PRP$ = -3.80196
RBS | PRP$ = -3.83123
WRB | PRP$ = -3.85745
JJS | PRP$ = -3.89671
$ | PRP$ = -3.87554
RP | PRP$ = -3.87267
FW | PRP$ = -3.75449
EX | PRP$ = -3.81547
SYM | PRP$ = -3.72681
# | PRP$ = -3.73811
LS | PRP$ = -3.73947
UH | PRP$ = -3.7396
WP$ | PRP$ = -3.74979
IN | VB = -1.53589
DT | VB = -4.80276
NNP | VB = -3.64978
CD | VB = -6.27932
NN | VB = -1.5082
`` | VB = -5.02688
'' | VB = -5.31868
POS | VB = -10.9705
( | VB = -9.42973
VBN | VB = -3.04537
NNS | VB = -1.95846
VBP | VB = -5.23142
, | VB = -3.49524
CC | VB = -3.97695
) | VB = -9.52401
VBD | VB = -5.07184
RB | VB = -2.93132
TO | VB = -2.69191
. | VB = -4.58845
VBZ | VB = -4.91305
NNPS | VB = -7.72824
PRP | VB = -4.12115
PRP$ | VB = -8.63057
VB | VB = -4.71434
JJ | VB = -3.49764
MD | VB = -4.89232
VBG | VB = -3.54527
RBR | VB = -6.24714
: | VB = -6.0165
WP | VB = -5.86347
WDT | VB = -6.11375
JJR | VB = -6.22676
PDT | VB = -9.6462
RBS | VB = -8.97509
WRB | VB = -5.01701
JJS | VB = -7.15122
$ | VB = -5.33736
RP | VB = -4.52916
FW | VB = -10.0134
EX | VB = -7.62328
SYM | VB = -10.9289
# | VB = -9.83786
LS | VB = -10.5447
UH | VB = -10.4129
WP$ | VB = -10.3218
IN | JJ = -1.39579
DT | JJ = -2.92286
NNP | JJ = -4.8565
CD | JJ = -3.51555
NN | JJ = -3.52208
`` | JJ = -4.3545
'' | JJ = -4.1088
POS | JJ = -6.53582
( | JJ = -5.29842
VBN | JJ = -4.44301
NNS | JJ = -4.99443
VBP | JJ = -6.45301
, | JJ = -2.80633
CC | JJ = -2.53656
) | JJ = -5.35086
VBD | JJ = -5.93368
RB | JJ = -1.8571
TO | JJ = -2.19996
. | JJ = -4.99146
VBZ | JJ = -6.19568
NNPS | JJ = -7.16673
PRP | JJ = -5.63671
PRP$ | JJ = -5.40365
VB | JJ = -12.932
JJ | JJ = -3.92951
MD | JJ = -5.77846
VBG | JJ = -4.60661
RBR | JJ = -3.33476
: | JJ = -4.76758
WP | JJ = -5.97388
WDT | JJ = -7.09903
JJR | JJ = -4.24938
PDT | JJ = -6.02816
RBS | JJ = -4.19413
WRB | JJ = -4.77153
JJS | JJ = -4.88307
$ | JJ = -5.27108
RP | JJ = -5.20012
FW | JJ = -7.17263
EX | JJ = -6.9589
SYM | JJ = -7.72696
# | JJ = -7.96837
LS | JJ = -7.66982
UH | JJ = -7.55557
WP$ | JJ = -6.75459
IN | MD = -3.29945
DT | MD = -7.59008
NNP | MD = -2.99339
CD | MD = -7.70092
NN | MD = -2.27614
`` | MD = -4.52153
'' | MD = -4.6045
POS | MD = -11.9349
( | MD = -8.07236
VBN | MD = -4.88585
NNS | MD = -2.6566
VBP | MD = -5.87313
, | MD = -2.67003
CC | MD = -4.00848
) | MD = -8.06701
VBD | MD = -5.24815
RB | MD = -2.41802
TO | MD = -4.15809
. | MD = -2.21813
VBZ | MD = -4.96073
NNPS | MD = -6.35709
PRP | MD = -2.76348
PRP$ | MD = -13.0818
VB | MD = -1.31241
JJ | MD = -6.6957
MD | MD = -4.93715
VBG | MD = -4.56871
RBR | MD = -7.81484
: | MD = -5.94133
WP | MD = -4.61917
WDT | MD = -3.99761
JJR | MD = -8.04085
PDT | MD = -11.2073
RBS | MD = -10.0559
WRB | MD = -5.70138
JJS | MD = -8.97416
$ | MD = -6.03555
RP | MD = -6.53506
FW | MD = -9.71192
EX | MD = -6.16816
SYM | MD = -10.8589
# | MD = -9.65383
LS | MD = -10.4745
UH | MD = -10.0693
WP$ | MD = -11.6917
IN | VBG = -1.37106
DT | VBG = -4.90064
NNP | VBG = -3.73377
CD | VBG = -5.79783
NN | VBG = -1.50606
`` | VBG = -5.41486
'' | VBG = -5.85639
POS | VBG = -11.4535
( | VBG = -9.34003
VBN | VBG = -3.99451
NNS | VBG = -1.95191
VBP | VBG = -5.79489
, | VBG = -3.71315
CC | VBG = -3.98432
) | VBG = -9.42677
VBD | VBG = -4.87663
RB | VBG = -2.6708
TO | VBG = -2.33805
. | VBG = -5.59679
VBZ | VBG = -5.03021
NNPS | VBG = -7.90009
PRP | VBG = -4.78692
PRP$ | VBG = -9.2828
VB | VBG = -5.45241
JJ | VBG = -4.26144
MD | VBG = -4.90831
VBG | VBG = -3.92719
RBR | VBG = -5.56562
: | VBG = -6.27885
WP | VBG = -6.33296
WDT | VBG = -6.84443
JJR | VBG = -6.20328
PDT | VBG = -9.81037
RBS | VBG = -8.88126
WRB | VBG = -5.06923
JJS | VBG = -7.14218
$ | VBG = -4.81314
RP | VBG = -4.43809
FW | VBG = -10.2382
EX | VBG = -8.40984
SYM | VBG = -11.1457
# | VBG = -9.99261
LS | VBG = -10.8862
UH | VBG = -10.6796
WP$ | VBG = -10.5851
IN | RBR = -1.0821
DT | RBR = -3.41024
NNP | RBR = -3.15125
CD | RBR = -4.57245
NN | RBR = -1.51638
`` | RBR = -5.26615
'' | RBR = -5.63216
POS | RBR = -9.03792
( | RBR = -8.30299
VBN | RBR = -4.07569
NNS | RBR = -3.12499
VBP | RBR = -5.78663
, | RBR = -2.9318
CC | RBR = -3.26315
) | RBR = -8.39466
VBD | RBR = -5.13634
RB | RBR = -3.03371
TO | RBR = -3.08438
. | RBR = -5.71454
VBZ | RBR = -5.22612
NNPS | RBR = -7.65116
PRP | RBR = -5.92925
PRP$ | RBR = -7.47837
VB | RBR = -12.001
JJ | RBR = -3.1707
MD | RBR = -5.35423
VBG | RBR = -4.03311
RBR | RBR = -6.48464
: | RBR = -5.99626
WP | RBR = -7.79775
WDT | RBR = -7.88387
JJR | RBR = -5.9859
PDT | RBR = -9.2245
RBS | RBR = -9.20695
WRB | RBR = -7.19592
JJS | RBR = -6.80373
$ | RBR = -5.56549
RP | RBR = -7.48182
FW | RBR = -10.0126
EX | RBR = -9.56014
SYM | RBR = -11.7079
# | RBR = -10.8177
LS | RBR = -11.541
UH | RBR = -11.2899
WP$ | RBR = -10.2488
IN | : = -2.88038
DT | : = -3.30705
NNP | : = -3.2073
CD | : = -3.50473
NN | : = -3.06735
`` | : = -3.66687
'' | : = -3.6979
POS | : = -4.21633
( | : = -4.09835
VBN | : = -3.59776
NNS | : = -3.47856
VBP | : = -3.89911
, | : = -3.09851
CC | : = -3.22504
) | : = -4.11246
VBD | : = -3.66691
RB | : = -3.2943
TO | : = -3.36339
. | : = -3.66459
VBZ | : = -3.7231
NNPS | : = -4.09942
PRP | : = -3.9306
PRP$ | : = -4.2073
VB | : = -5.68586
JJ | : = -3.37857
MD | : = -3.77322
VBG | : = -3.59279
RBR | : = -4.04402
: | : = -3.81989
WP | : = -4.28623
WDT | : = -4.27726
JJR | : = -3.9034
PDT | : = -4.49273
RBS | : = -4.4884
WRB | : = -4.28109
JJS | : = -4.06172
$ | : = -3.87893
RP | : = -4.50795
FW | : = -4.60048
EX | : = -4.61777
SYM | : = -5.00849
# | : = -4.87164
LS | : = -4.99164
UH | : = -4.92044
WP$ | : = -4.69215
IN | WP = -2.777
DT | WP = -3.52452
NNP | WP = -3.3428
CD | WP = -3.5079
NN | WP = -2.8507
`` | WP = -3.72207
'' | WP = -3.82148
POS | WP = -4.92393
( | WP = -4.36227
VBN | WP = -3.48648
NNS | WP = -3.1017
VBP | WP = -3.84223
, | WP = -3.13122
CC | WP = -3.19821
) | WP = -4.37663
VBD | WP = -3.84195
RB | WP = -3.00869
TO | WP = -3.25339
. | WP = -3.77809
VBZ | WP = -3.86037
NNPS | WP = -4.30848
PRP | WP = -3.7634
PRP$ | WP = -4.46088
VB | WP = -5.19608
JJ | WP = -3.33576
MD | WP = -3.79498
VBG | WP = -3.38244
RBR | WP = -3.98895
: | WP = -3.89134
WP | WP = -4.26351
WDT | WP = -4.26123
JJR | WP = -3.8941
PDT | WP = -4.76168
RBS | WP = -4.65757
WRB | WP = -4.2049
JJS | WP = -4.11507
$ | WP = -3.84245
RP | WP = -4.33462
FW | WP = -4.89449
EX | WP = -4.68464
SYM | WP = -5.30051
# | WP = -5.10008
LS | WP = -5.25538
UH | WP = -5.17992
WP$ | WP = -5.02882
IN | WDT = -3.60139
DT | WDT = -3.6552
NNP | WDT = -3.71123
CD | WDT = -3.89841
NN | WDT = -3.75332
`` | WDT = -3.70956
'' | WDT = -3.64245
POS | WDT = -3.78167
( | WDT = -3.88085
VBN | WDT = -3.68559
NNS | WDT = -3.93118
VBP | WDT = -3.90554
, | WDT = -3.58437
CC | WDT = -3.66055
) | WDT = -3.88535
VBD | WDT = -3.87024
RB | WDT = -3.72553
TO | WDT = -3.71814
. | WDT = -3.57033
VBZ | WDT = -3.84984
NNPS | WDT = -3.93476
PRP | WDT = -3.79884
PRP$ | WDT = -3.87938
VB | WDT = -4.38984
JJ | WDT = -3.69826
MD | WDT = -3.88693
VBG | WDT = -3.83256
RBR | WDT = -3.93798
: | WDT = -3.79057
WP | WDT = -3.84566
WDT | WDT = -3.87057
JJR | WDT = -3.88353
PDT | WDT = -3.95714
RBS | WDT = -3.8808
WRB | WDT = -3.86587
JJS | WDT = -3.92789
$ | WDT = -3.99266
RP | WDT = -3.97264
FW | WDT = -3.98433
EX | WDT = -3.87616
SYM | WDT = -4.05555
# | WDT = -4.07398
LS | WDT = -4.03295
UH | WDT = -4.02831
WP$ | WDT = -3.97652
IN | JJR = -0.836453
DT | JJR = -4.00838
NNP | JJR = -4.62509
CD | JJR = -4.24112
NN | JJR = -2.72013
`` | JJR = -5.10463
'' | JJR = -5.11956
POS | JJR = -9.58503
( | JJR = -7.32739
VBN | JJR = -4.2454
NNS | JJR = -3.62
VBP | JJR = -6.51356
, | JJR = -2.73856
CC | JJR = -2.86165
) | JJR = -7.4
VBD | JJR = -6.01919
RB | JJR = -2.11662
TO | JJR = -2.46526
. | JJR = -5.24808
VBZ | JJR = -6.43702
NNPS | JJR = -8.23385
PRP | JJR = -5.76479
PRP$ | JJR = -7.63352
VB | JJR = -13.1157
JJ | JJR = -3.81644
MD | JJR = -5.96947
VBG | JJR = -4.46633
RBR | JJR = -4.92192
: | JJR = -5.77478
WP | JJR = -7.04307
WDT | JJR = -7.94115
JJR | JJR = -5.3629
PDT | JJR = -8.67036
RBS | JJR = -7.05198
WRB | JJR = -6.00136
JJS | JJR = -6.34579
$ | JJR = -5.97163
RP | JJR = -6.49561
FW | JJR = -9.64554
